lap2D_5pt_n1000.mtx |  Average over 45136: 0.0143144 s
Rank 0 time in mat_vec: 0.014277 s
Rank 4 time in mat_vec: 0.0142106 s
Rank 6 time in mat_vec: 0.0143394 s
Rank 1 time in mat_vec: 0.0116408 s
Rank 3 time in mat_vec: 0.0115735 s
Rank 7 time in mat_vec: 0.0133017 s
Rank 5 time in mat_vec: 0.0135192 s
Rank 2 time in mat_vec: 0.0138166 s
Rank 6 time in mat_vec: 0.0138348 s
Rank 0 time in mat_vec: 0.0137988 s
Rank 4 time in mat_vec: 0.0137258 s
Rank 1 time in mat_vec: 0.0119804 s
Rank 3 time in mat_vec: 0.0118173 s
Rank 7 time in mat_vec: 0.0135993 s
Rank 2 time in mat_vec: 0.0148657 s
Rank 6 time in mat_vec: 0.0147271 s
Rank 0 time in mat_vec: 0.0147335 s
Rank 5 time in mat_vec: 0.0137072 s
Rank 4 time in mat_vec: 0.0147389 s
Rank 1 time in mat_vec: 0.0122803 s
Rank 3 time in mat_vec: 0.0124032 s
Rank 7 time in mat_vec: 0.0143552 s
Rank 5 time in mat_vec: 0.0144483 s
Rank 2 time in mat_vec: 0.0153327 s
Rank 6 time in mat_vec: 0.0151059 s
Rank 0 time in mat_vec: 0.0153719 s
Rank 4 time in mat_vec: 0.0154291 s
Rank 1 time in mat_vec: 0.011841 s
Rank 3 time in mat_vec: 0.0118455 s
Rank 7 time in mat_vec: 0.0136066 s
Rank 5 time in mat_vec: 0.0137773 s
Rank 4 time in mat_vec: 0.014211 s
Rank 6 time in mat_vec: 0.014328 s
Rank 2 time in mat_vec: 0.0143104 s
Rank 0 time in mat_vec: 0.0149744 s
Rank 1 time in mat_vec: 0.0142017 s
Rank 3 time in mat_vec: 0.0143551 s
Rank 5 time in mat_vec: 0.0162143 s
Rank 7 time in mat_vec: 0.0164408 s
Rank 4 time in mat_vec: 0.0179884 s
Rank 6 time in mat_vec: 0.0176357 s
Rank 0 time in mat_vec: 0.0180046 s
Rank 2 time in mat_vec: 0.0185097 s
Rank 1 time in mat_vec: 0.0129933 s
Rank 3 time in mat_vec: 0.0131444 s
Rank 5 time in mat_vec: 0.0151675 s
Rank 7 time in mat_vec: 0.0154263 s
Rank 6 time in mat_vec: 0.01606 s
Rank 4 time in mat_vec: 0.0163047 s
Rank 2 time in mat_vec: 0.0161959 s
Rank 0 time in mat_vec: 0.0160579 s
Rank 1 time in mat_vec: 0.0147347 s
Rank 3 time in mat_vec: 0.0141861 s
Rank 4 time in mat_vec: 0.0164536 s
Rank 0 time in mat_vec: 0.0170309 s
Rank 5 time in mat_vec: 0.0161592 s
Rank 6 time in mat_vec: 0.0173639 s
Rank 2 time in mat_vec: 0.0170574 s
Rank 7 time in mat_vec: 0.017778 s
