lap2D_5pt_n1000.mtx  |  Average over 11284: 0.0365565 s
Rank 0 time in mat_vec: 0.0256107 s
Rank 1 time in mat_vec: 0.0260822 s
Rank 0 time in mat_vec: 0.0257063 s
Rank 1 time in mat_vec: 0.0260449 s
Rank 0 time in mat_vec: 0.0256387 s
Rank 1 time in mat_vec: 0.0260691 s
Rank 0 time in mat_vec: 0.0257119 s
Rank 1 time in mat_vec: 0.026096 s
Rank 0 time in mat_vec: 0.0256167 s
Rank 1 time in mat_vec: 0.0261205 s
Rank 0 time in mat_vec: 0.025706 s
Rank 1 time in mat_vec: 0.0260985 s
Rank 0 time in mat_vec: 0.0257855 s
Rank 1 time in mat_vec: 0.0261072 s
Rank 0 time in mat_vec: 0.0257266 s
Rank 1 time in mat_vec: 0.0261178 s
Rank 0 time in mat_vec: 0.0256299 s
Rank 1 time in mat_vec: 0.0261465 s
Rank 0 time in mat_vec: 0.025692 s
Rank 1 time in mat_vec: 0.0260945 s
Rank 0 time in mat_vec: 0.0256358 s
Rank 1 time in mat_vec: 0.0261152 s
Rank 0 time in mat_vec: 0.0256881 s
Rank 1 time in mat_vec: 0.0261158 s
Rank 0 time in mat_vec: 0.0256331 s
Rank 1 time in mat_vec: 0.0261097 s
Rank 0 time in mat_vec: 0.025707 s
Rank 1 time in mat_vec: 0.0261601 s
Rank 0 time in mat_vec: 0.025652 s
Rank 1 time in mat_vec: 0.0261406 s
Rank 0 time in mat_vec: 0.0257296 s
Rank 1 time in mat_vec: 0.0261519 s
Rank 0 time in mat_vec: 0.0256534 s
Rank 1 time in mat_vec: 0.0261324 s
Rank 0 time in mat_vec: 0.025723 s
Rank 1 time in mat_vec: 0.0261368 s
Rank 0 time in mat_vec: 0.0256359 s
Rank 1 time in mat_vec: 0.0261117 s
Rank 0 time in mat_vec: 0.0257149 s
Rank 1 time in mat_vec: 0.0261286 s
Rank 0 time in mat_vec: 0.0256716 s
Rank 1 time in mat_vec: 0.0261034 s
Rank 0 time in mat_vec: 0.0257002 s
Rank 1 time in mat_vec: 0.0260934 s
Rank 0 time in mat_vec: 0.0256578 s
Rank 1 time in mat_vec: 0.0260957 s
Rank 0 time in mat_vec: 0.0256874 s
Rank 1 time in mat_vec: 0.0260921 s
Rank 0 time in mat_vec: 0.0256538 s
Rank 1 time in mat_vec: 0.0261236 s
Rank 0 time in mat_vec: 0.0256944 s
Rank 1 time in mat_vec: 0.0260966 s
Rank 0 time in mat_vec: 0.025633 s
Rank 1 time in mat_vec: 0.0261108 s
Rank 0 time in mat_vec: 0.0256991 s
Rank 1 time in mat_vec: 0.0261116 s
Rank 0 time in mat_vec: 0.025646 s
Rank 1 time in mat_vec: 0.0260914 s
Rank 0 time in mat_vec: 0.0257109 s
Rank 1 time in mat_vec: 0.0260808 s
Rank 0 time in mat_vec: 0.025625 s
Rank 1 time in mat_vec: 0.0261447 s
Rank 0 time in mat_vec: 0.0256939 s
Rank 1 time in mat_vec: 0.0261012 s
Rank 0 time in mat_vec: 0.0255879 s
Rank 1 time in mat_vec: 0.0261087 s
Rank 0 time in mat_vec: 0.0257165 s
Rank 1 time in mat_vec: 0.0261593 s
Rank 0 time in mat_vec: 0.0257935 s
Rank 1 time in mat_vec: 0.026112 s
Rank 0 time in mat_vec: 0.0257073 s
Rank 1 time in mat_vec: 0.0261238 s
Rank 0 time in mat_vec: 0.0258462 s
Rank 1 time in mat_vec: 0.0260522 s
Rank 0 time in mat_vec: 0.0257311 s
Rank 1 time in mat_vec: 0.026117 s
Rank 0 time in mat_vec: 0.0256854 s
Rank 1 time in mat_vec: 0.0261725 s
Rank 0 time in mat_vec: 0.0256874 s
Rank 1 time in mat_vec: 0.0261173 s
Rank 0 time in mat_vec: 0.0256187 s
Rank 1 time in mat_vec: 0.0261342 s
Rank 1 time in mat_vec: 0.0270985 s
Rank 0 time in mat_vec: 0.0272259 s
Rank 1 time in mat_vec: 0.0260681 s
Rank 0 time in mat_vec: 0.0256817 s
Rank 0 time in mat_vec: 0.0257072 s
Rank 1 time in mat_vec: 0.0261601 s
Rank 0 time in mat_vec: 0.0256366 s
Rank 1 time in mat_vec: 0.0261142 s
Rank 0 time in mat_vec: 0.0257157 s
Rank 1 time in mat_vec: 0.0260863 s
Rank 0 time in mat_vec: 0.0256091 s
Rank 1 time in mat_vec: 0.026139 s
Rank 0 time in mat_vec: 0.0256952 s
Rank 1 time in mat_vec: 0.0261436 s
Rank 0 time in mat_vec: 0.0256452 s
Rank 1 time in mat_vec: 0.026112 s
Rank 0 time in mat_vec: 0.0257092 s
Rank 1 time in mat_vec: 0.026112 s
Rank 0 time in mat_vec: 0.0256453 s
Rank 1 time in mat_vec: 0.0261011 s
Rank 0 time in mat_vec: 0.0256992 s
Rank 1 time in mat_vec: 0.0260876 s
Rank 0 time in mat_vec: 0.02563 s
Rank 1 time in mat_vec: 0.0261335 s
Rank 0 time in mat_vec: 0.0257053 s
Rank 1 time in mat_vec: 0.0261333 s
Rank 0 time in mat_vec: 0.0256476 s
Rank 1 time in mat_vec: 0.0261201 s
Rank 0 time in mat_vec: 0.0257163 s
Rank 1 time in mat_vec: 0.026102 s
Rank 0 time in mat_vec: 0.0256478 s
Rank 1 time in mat_vec: 0.0261114 s
Rank 0 time in mat_vec: 0.0256717 s
Rank 1 time in mat_vec: 0.0261148 s
Rank 0 time in mat_vec: 0.0256204 s
Rank 1 time in mat_vec: 0.026109 s
Rank 0 time in mat_vec: 0.0258081 s
Rank 1 time in mat_vec: 0.0260627 s
Rank 0 time in mat_vec: 0.0256881 s
Rank 1 time in mat_vec: 0.0261247 s
Rank 0 time in mat_vec: 0.0257026 s
Rank 1 time in mat_vec: 0.02606 s
Rank 0 time in mat_vec: 0.0256317 s
Rank 1 time in mat_vec: 0.0261164 s
Rank 0 time in mat_vec: 0.0256839 s
Rank 1 time in mat_vec: 0.0260997 s
Rank 0 time in mat_vec: 0.0256437 s
Rank 1 time in mat_vec: 0.0261296 s
Rank 0 time in mat_vec: 0.0256922 s
Rank 1 time in mat_vec: 0.0260939 s
Rank 0 time in mat_vec: 0.025633 s
Rank 1 time in mat_vec: 0.0260708 s
Rank 0 time in mat_vec: 0.0256722 s
Rank 1 time in mat_vec: 0.026107 s
Rank 0 time in mat_vec: 0.025625 s
Rank 1 time in mat_vec: 0.0261055 s
Rank 0 time in mat_vec: 0.0257275 s
Rank 1 time in mat_vec: 0.0260641 s
Rank 0 time in mat_vec: 0.0259 s
Rank 1 time in mat_vec: 0.026167 s
Rank 0 time in mat_vec: 0.0258607 s
Rank 1 time in mat_vec: 0.0261352 s
Rank 0 time in mat_vec: 0.0260044 s
Rank 1 time in mat_vec: 0.0269018 s
Rank 0 time in mat_vec: 0.0257715 s
Rank 1 time in mat_vec: 0.026119 s
Rank 0 time in mat_vec: 0.025649 s
Rank 1 time in mat_vec: 0.0262666 s
Rank 0 time in mat_vec: 0.0257306 s
Rank 1 time in mat_vec: 0.0261808 s
Rank 0 time in mat_vec: 0.0256631 s
Rank 1 time in mat_vec: 0.0261823 s
Rank 0 time in mat_vec: 0.0261532 s
Rank 1 time in mat_vec: 0.0260859 s
Rank 0 time in mat_vec: 0.0257153 s
Rank 1 time in mat_vec: 0.0265596 s
Rank 0 time in mat_vec: 0.0257931 s
Rank 1 time in mat_vec: 0.0264949 s
Rank 0 time in mat_vec: 0.0258662 s
Rank 1 time in mat_vec: 0.0263003 s
Rank 0 time in mat_vec: 0.0260134 s
Rank 1 time in mat_vec: 0.0262121 s
Rank 1 time in mat_vec: 0.0290694 s
Rank 0 time in mat_vec: 0.0292824 s
Rank 0 time in mat_vec: 0.0258075 s
Rank 1 time in mat_vec: 0.0261091 s
Rank 0 time in mat_vec: 0.0258343 s
Rank 1 time in mat_vec: 0.0262826 s
Rank 0 time in mat_vec: 0.0258545 s
Rank 1 time in mat_vec: 0.0262753 s
Rank 0 time in mat_vec: 0.0259187 s
Rank 1 time in mat_vec: 0.0263779 s
Rank 1 time in mat_vec: 0.0263227 s
Rank 0 time in mat_vec: 0.026095 s
Rank 0 time in mat_vec: 0.0260444 s
Rank 1 time in mat_vec: 0.0265819 s
Rank 0 time in mat_vec: 0.0259459 s
Rank 1 time in mat_vec: 0.0262721 s
Rank 0 time in mat_vec: 0.0259486 s
Rank 1 time in mat_vec: 0.0261632 s
Rank 0 time in mat_vec: 0.0257861 s
